node	RT_K101E	sensitive
n71089	5.676392913107281e-08	0.9999999432360708
9109	0.0	1.0
12250	0.0	1.0
83342	0.0	1.0
n71113	1.423424015824382e-09	0.9999999985765761
n71119	4.146123056173053e-06	0.9999958538769439
44756	0.0	1.0
38482	0.0	1.0
n71177	0.0010456979353396427	0.9989543020646603
n71184	0.002738653140004754	0.9972613468599952
51784	0.0	1.0
2642	0.0	1.0
26904	0.0	1.0
1366	0.0	1.0
33095	0.0	1.0
n71209	5.6059469954613714e-11	0.9999999999439405
n71213	2.2165609912836734e-07	0.9999997783439009
3817	0.0	1.0
n71314	0.0006642527846059971	0.999335747215394
57044	0.0	1.0
27439	0.0	1.0
8746	0.0	1.0
n71330	0.0004396197022518596	0.9995603802977482
26586	0.0	1.0
80975	0.0	1.0
n71343	0.00034535712883753344	0.9996546428711625
29253	0.0	1.0
n71351	1.8051324927295443e-09	0.9999999981948675
2768	0.0	1.0
n71368	0.00021019351263662676	0.9997898064873634
62067	0.0	1.0
n71383	7.525545104351264e-05	0.9999247445489564
n71389	0.0005054707404209698	0.999494529259579
3060	0.0	1.0
n71407	0.00046291827158236845	0.9995370817284177
n71436	2.2487562404623988e-08	0.9999999775124375
52450	0.0	1.0
4233	0.0	1.0
n71442	1.1634308646901254e-05	0.9999883656913531
n71468	0.00012335165834648093	0.9998766483416535
n71471	0.0007263286147636564	0.9992736713852364
n71492	0.0014182680373301777	0.9985817319626697
25563	0.0	1.0
n71497	0.001206787140392094	0.998793212859608
75977	0.0	1.0
60687	0.0	1.0
n71507	5.383122448206167e-08	0.9999999461687755
19018	0.0	1.0
6952	0.0	1.0
n71553	2.8851662628816164e-08	0.9999999711483373
64569	0.0	1.0
n71562	4.7901708474761756e-08	0.9999999520982915
41740	0.0	1.0
n71570	0.000488323619644034	0.999511676380356
n71573	3.122688854622413e-05	0.9999687731114538
27546	0.0	1.0
74414	0.0	1.0
62525	0.0	1.0
84166	0.0	1.0
n71595	0.0001656319965995527	0.9998343680034005
33853	0.0	1.0
63018	0.0	1.0
n71611	0.001104012686670658	0.9988959873133293
74626	0.0	1.0
73845	0.0	1.0
67569	0.0	1.0
47664	0.0	1.0
82777	0.0	1.0
34453	0.0	1.0
n71678	1.588544690164265e-08	0.999999984114553
85844	0.0	1.0
n71692	7.026316514270779e-09	0.9999999929736835
n71699	1.0110569772728935e-05	0.9999898894302274
67714	0.0	1.0
30148	0.0	1.0
73924	0.0	1.0
47246	0.0	1.0
42216	0.0	1.0
71074	0.0	1.0
19341	0.0	1.0
n71800	4.3233667305740895e-06	0.9999956766332694
32661	0.0	1.0
n71814	0.0010089570403405555	0.9989910429596595
32301	0.0	1.0
16001	0.0	1.0
n71824	3.544929865462369e-08	0.9999999645507014
38061	0.0	1.0
38041	0.0	1.0
n71079	1.3290930961082763e-08	0.9999999867090691
n71082	5.7192428574734266e-09	0.9999999942807571
n71090	0.0008978101601299521	0.9991021898398701
n71095	1.4335254876041856e-07	0.9999998566474513
52098	0.0	1.0
43567	0.0	1.0
50131	0.0	1.0
79582	0.0	1.0
65999	0.0	1.0
17834	0.0	1.0
