node	RT_T215D	RT_T215F	RT_T215S	RT_T215Y	sensitive
n70871	9.329629722019855e-18	1.5568642764621173e-17	0.999999999999992	5.248611847684075e-17	7.905380170705147e-15
81602	0.0	0.0	1.0	0.0	0.0
46981	0.0	0.0	1.0	0.0	0.0
n70884	1.6289994162383017e-15	2.7183618997582097e-15	0.999999999999679	9.164335445981375e-15	3.074103219753909e-13
n70895	1.2900577397699263e-06	2.1527594014593264e-06	0.9997458513919601	7.2575359782736215e-06	0.0002434482549203454
27229	0.0	0.0	1.0	0.0	0.0
41513	0.0	0.0	1.0	0.0	0.0
n70900	9.960607834215215e-14	1.6621575529774666e-13	0.9999999999803769	5.603584048508044e-13	1.8796775682444716e-11
n70956	1.2799797282706237e-12	2.135941910788709e-12	0.9999999997478368	7.200839654697679e-12	2.415464219736976e-10
n70971	3.116442757491289e-05	5.2005047824415205e-05	2.943362374880857e-05	0.0001753231250002578	0.9997120737758515
n70974	1.0584629216016542e-05	1.766289938294114e-05	9.996780465801227e-06	5.954642570155521e-05	0.9999022092652338
50513	0.0	0.0	0.0	0.0	1.0
54294	0.0	0.0	0.0	0.0	1.0
61883	0.0	0.0	0.0	0.0	1.0
16406	0.0	0.0	0.0	0.0	1.0
49651	0.0	0.0	0.0	0.0	1.0
24186	0.0	0.0	0.0	0.0	1.0
8631	0.0	0.0	0.0	0.0	1.0
40683	0.0	0.0	0.0	0.0	1.0
n70997	5.307943038621495e-09	8.857529338834781e-09	5.013150453461665e-09	2.986113441735776e-08	0.9999999509602429
78509	0.0	0.0	0.0	0.0	1.0
41597	0.0	0.0	0.0	0.0	1.0
n71002	2.2139060250283543e-06	3.694413716844351e-06	2.0909500935742164e-06	1.24548709207586e-05	0.9999795458592439
n71008	5.091461505667162e-09	8.496279883912802e-09	4.808691873707071e-09	2.8643264499125962e-08	0.9999999529603023
30942	0.0	0.0	0.0	0.0	1.0
5613	0.0	0.0	0.0	0.0	1.0
n71013	6.838806918378753e-14	1.1412129422153287e-13	6.458993791942436e-14	3.84733843521237e-13	0.9999999999993682
n71051	2.272077306991055e-07	3.791485941039866e-07	6.544026144561416e-07	1.2782127723870185e-06	0.9999974610282883
n71219	0.0003386492928306259	0.000565114588645234	0.00032000380579433763	0.0019051545918971908	0.9968710777208326
